severity_percent,spot_count,class_label
7.459398267078853,65,Tomato _Yellow
13.821169074716613,118,Tomato _Yellow
1.9147837234049174,55,Tomato _Yellow
11.071181992443963,25,Tomato _Yellow
12.844051838312657,96,Tomato _Yellow
16.415047250811103,96,Tomato _Yellow
21.390087530398187,48,Tomato _Yellow
1.8562555456965395,39,Tomato _Yellow
0.8547565246581725,36,Tomato _Yellow
32.26294544927292,880,Tomato _Yellow
11.245084261369676,115,Tomato _Yellow
4.616897444917016,71,Tomato _Yellow
11.048604401831174,52,Tomato _Yellow
23.175049705014068,691,Tomato _Yellow
30.452982936260092,38,Tomato _Yellow
4.246755579723162,50,Tomato _Yellow
22.650864186116394,329,Tomato _Yellow
18.644527450434456,43,Tomato _Yellow
4.097378817052619,51,Tomato _Yellow
8.397082243203275,71,Tomato _Yellow
27.1331304678585,103,Tomato _Yellow
20.542681740559,29,Tomato _Yellow
4.98007600066516,72,Tomato _Yellow
23.05039677593585,690,Tomato _Yellow
0.9403507733950619,45,Tomato _Yellow
4.05596758161939,43,Tomato _Yellow
5.253261666885552,64,Tomato _Yellow
7.267317598587689,68,Tomato _Yellow
21.455731786707698,26,Tomato _Yellow
28.581042640875854,114,Tomato _Yellow
1.1579313066443604,51,Tomato _Yellow
4.170344872531652,110,Tomato _Yellow
4.465850528057751,57,Tomato _Yellow
31.701398283455738,98,Tomato _Yellow
10.112413252528341,52,Tomato _Yellow
4.936196599327698,88,Tomato _Yellow
9.395133144521377,69,Tomato _Yellow
11.501152144483992,588,Tomato _Yellow
11.414556637377162,384,Tomato _Yellow
15.941678658807954,149,Tomato _Yellow
2.2447601235007717,33,Tomato _Yellow
2.039849827943766,52,Tomato _Yellow
5.573070921308239,68,Tomato _Yellow
4.6584246156520335,60,Tomato _Yellow
2.46304899390651,38,Tomato _Yellow
9.711789462468703,703,Tomato _Yellow
10.617880848971565,117,Tomato _Yellow
20.65749139953341,163,Tomato _Yellow
36.268381196115044,69,Tomato _Yellow
10.843202392521698,408,Tomato _Yellow
4.326397130166878,59,Tomato _Yellow
14.48055251302686,191,Tomato _Yellow
17.198892766211333,609,Tomato _Yellow
5.8188275133272835,101,Tomato _Yellow
